Entrepreneur	As a new entrepreneur, you’ll want to get advice from as many people as you can. But when it comes to choosing your advisors, it’s much more important to be strategic. Here's how to know who to bring on board.
Entrepreneur	Last week was Start-up Week at The Daily Muse, but you asked for more! So check in this week for even more savvy start-up advice, included splitting founder equity, getting funded, and more success stories from fabulous female founders.
Entrepreneur	For a community that claims to be so daring and adventurous, the theater world is actually pretty staid. Especially when it comes to parts for women. Read on for how two "theater entrepreneurs" are mixing up the scene with their new act, Blogologues.
Entrepreneur	Our fifth essay contest finalist jumped too fast into entrepreneurship. Here's what that mistake taught her, and how she's used it to build her successful business.
Entrepreneur	As founder and hostess of NY's Midnight Brunch supper club, Emily Cavalier has what most people would consider to be a dream job. We caught up with her on her choice to quit her steady paycheck to follow her dreams and the realities of being her own boss.
Entrepreneur	Demo Day dragging on? Spice things up and stay awake with our Demo Day Bingo.
Entrepreneur	Tax season sucks for everyone, but it's even rougher if you have your own business. Whether you're trying to knock your taxes out this week or want to make next year's filing less painful, here are a few words of wisdom from a fellow entrepreneur.
Entrepreneur	Ever wondered what it's like to launch a business? This week, our resident entrepreneur-in-training shares the challenges of balancing work, life, and a new business—and some of the things she's realized along the way.
Entrepreneur	When you're running your own business, getting the advice of other people who've been there before is a crucial key to success. So today, we're bringing that advice to you, with a quick video of the biggest lessons that successful entrepreneurs have learned along the way.
Entrepreneur	Ever wondered what it's like to launch a business? This new entrepreneur shares the habits that she thought would be helpful early on but that have actually slowed her progress getting her business off the ground.
Entrepreneur	Through its 5by20 initiative, Coca-Cola aims to empower 5 million women around the world by providing them with resources to start and run their own businesses. Read on to learn more about the initiative and hear the inspiring story of one entrepreneur.
Entrepreneur	When you're launching a company, it's natural to want to work on your site or product until it's perfect. But turns out, this isn't the best approach. Here's why, plus other common mistakes new entrepreneurs make.
Entrepreneur	Sure, the Real Housewives provide hours of entertainment—but, as this entrepreneur recently learned, they can actually teach us a thing or two about business partnerships. Read on for three surprisingly useful lessons.
Entrepreneur	After hiring her first employee, this new entrepreneur realized she had a lot to learn about being a good leader to her new partner in crime. Read on for three important lessons when welcoming new members to your team.
Entrepreneur	When looking for leadership advice, you probably wouldn't turn to a viral video. But that's exactly what Derek Sivers did in this talk—with surprising results.
Entrepreneur	With her new venture, audience.io, Courtney Boyd Myers helps New York and London-based start-ups do business across the world.
Entrepreneur	Landed a TV appearance? Congrats! Get the basics on what to expect from our media pro.
Entrepreneur	Landed a TV appearance? Congrats! Get the basics on what to expect from our media pro.
Entrepreneur	Need help keeping it all together? See how these three tools made a huge difference in keeping this entrepreneur's overloaded mind on track.
Entrepreneur	Your company evolves over months and years, and so should your messaging. Our PR expert shares a few ways to shake up your communications.
Interviews	Join us for a live, interactive event with hiring managers from some of the most amazing companies to work for, including Facebook, Tumblr, Birchbox, and The Muse.
Interviews	Interviewing isn't easy—on either side of the table. Before you hold your next interview, make sure you’re not inadvertently making one of these four common interviewer mistakes.
Interviews	Should you keep things strictly professional when you show up to the interview? Actually, maybe not. According to a new study, hiring managers may place more weight on your friendliness and likability than on your skills.
Interviews	You've just interviewed for your dream job. You want to send a thank you, while also solidifying what a creative and tech-savvy candidate you are. So, should you send a grateful tweet? Say "thanks" on Facebook? This job search expert weighs in.
Interviews	Be prepared for: "Describe Google as a person."
Interviews	The biggest interview face-palm moments ever.
Interviews	Fall is the best time of year to kick off your job hunt, and these three webinars will make sure you're set up for job search success!
Interviews	You’ve aced the case, nailed the meet-and-greet, and now, there’s just one thing between you and that consulting gig: the quantitative analysis. This part of the interview process can be daunting, but we've pulled together some smart advice for nailing it.
Interviews	Just been invited for a 4-hour interview? You might very well be facing the Apprentice-style interview, where you'll be asked to solve problems or complete challenges as a team. Here's what you need to know to shine.
Interviews	If you're about to graduate and thinking about your first job, you probably know all of the parent-approved must-haves: good salary, medical benefits, 401(k) matching. But here's what else you should keep in mind during your first foray into the professional world.
Interviews	It’s graduation season, and for many new and soon-to-be grads, that means it’s job-hunting season, too. But if you’re new to job interviews, don’t panic. Start with this quick visual guide to everything you need to know.
Interviews	Every once in a while, it happens: the surprise interview. Here's how to boost your confidence for the big event—in just under an hour.
Interviews	OK, you'll never get around the resume and cover letter, but there are a few things that can help make your job search a little easier.
Interviews	Just because you finish an interview doesn't mean you're done.
Interviews	Anna Post (yes, the great-great-granddaughter of Emily Post) is pretty much the final word on all things etiquette. So we sat down with her and picked her brain on a few sticky job search situations.
